tag,game,characters
KirbyKaze,melee,"{""melee/sheik"": 89, ""melee/peach"": 9}"
Vixen,melee,""""""
dansdaman,melee,""""""
Peachfuzz,melee,""""""
W,melee,""""""
TFS_,melee,""""""
Toro,melee,""""""
HARD,melee,""""""
Silly Kyle,melee,""""""
Daouzin,melee,""""""
Tribulation,melee,""""""
Cap'n Schfifty,melee,""""""
Forward,melee,""""""
EEF,melee,""""""
Medz,melee,"{""melee/marth"": 573, ""melee/fox"": 1038, ""melee/falco"": 54, ""melee/captainfalcon"": 3, ""melee/samus"": 1, ""melee/random"": 5}"
RCA,melee,""""""
Glitch,melee,""""""
Jackie Tran,melee,""""""
Prinny,melee,""""""
tetsuyalol,melee,""""""
Bacon,melee,""""""
Kalimari,melee,""""""
Nerin,melee,""""""
Chris,melee,""""""
JPeGImage,melee,""""""
Douchebag Dylan,melee,""""""
CoriGames,melee,""""""
Trahh,melee,""""""
PatCombo,melee,""""""
Swami,melee,""""""
Cornholio69,melee,""""""
GamerGuitarist7,melee,""""""
Falcoty,melee,""""""
Scape,melee,""""""
Ivan,melee,""""""
Blur,melee,""""""
Girku,melee,""""""
maXXXpower,melee,""""""
HF Neon,melee,""""""
Far!,melee,""""""
Yeeman,melee,""""""
TrevynTHOT,melee,""""""
Spank,melee,""""""
HolyNugz,melee,""""""
WLG|Yink,melee,""""""
The Biggest C,melee,""""""
NoirScythe,melee,""""""
PC Chris,melee,""""""
ForteFreak,melee,""""""
EastCoastJeff,melee,""""""
FF | Mevan,melee,""""""
Reason,melee,""""""
Santi,melee,"{""melee/falco"": 38, ""melee/ganondorf"": 1, ""melee/sheik"": 9, ""melee/fox"": 16, ""melee/captainfalcon"": 5, ""melee/younglink"": 1}"
Jace,melee,""""""
Sherigami,melee,""""""
SFS | A Rookie,melee,""""""
[L2] EMG | Sauc3,melee,""""""
[L1] MIOM | Toph,melee,""""""
[W2] LP | RaynEX,melee,""""""
Ryan Ford,melee,"{""melee/fox"": 158, ""melee/falco"": 11, ""melee/sheik"": 17, ""melee/captainfalcon"": 3, ""melee/marth"": 4, ""melee/drmario"": 8, ""melee/younglink"": 2}"
[W2] EMG | Weon-X,melee,""""""
[L2] SAUS,melee,""""""
[L2] Vwins,melee,""""""
Kels,melee,"{""melee/fox"": 54, ""melee/sheik"": 14, ""melee/falco"": 6, ""melee/captainfalcon"": 1}"
Dart!,melee,""""""
Baka4Moe,melee,""""""
Mundungu,melee,""""""
Hanky Panky,melee,""""""
Scythe,melee,""""""
Rik,melee,"{""melee/fox"": 13}"
Oro?!,melee,""""""
Vro,melee,""""""
darkrain,melee,""""""
Abate,melee,"{""melee/luigi"": 69}"
Toph,melee,"{""melee/fox"": 263, ""melee/falco"": 1, ""melee/sheik"": 4, ""melee/captainfalcon"": 3, ""melee/marth"": 2}"
Darrell,melee,""""""
SGT Rula,melee,""""""
EE Lunacy Eikelmann,melee,""""""
Frank,melee,"{""melee/falco"": 33}"
Minty,melee,""""""
Prince Abu,melee,""""""
Crush,melee,"{""melee/fox"": 196}"
$mike,melee,"{""melee/captainfalcon"": 13}"
Darktooth,melee,"{""melee/fox"": 82, ""melee/falco"": 1}"
dizzkidboogie,melee,"{""melee/iceclimbers"": 68}"
NY Joey,melee,""""""
Phake,melee,""""""
Fork,melee,""""""
Poop,melee,""""""
Clock$,melee,""""""
Trulliam,melee,"{""melee/falco"": 23}"
Glacial Prince Abu,melee,""""""
Plat,melee,""""""
InfernoJesus,melee,""""""
Plum,melee,""""""
EGE Coffeeblack,melee,""""""
Liquid,melee,""""""
K,melee,""""""
N0zick,melee,""""""
EMG Weon-X,melee,""""""
299792459,melee,""""""
Damian Tyson,melee,""""""
sauc3,melee,""""""
FrozenLight1337,melee,""""""
GGs | Beat,melee,""""""
saska,melee,""""""
Malteh,melee,""""""
JJ | Rondelle,melee,""""""
CaptainCrunch,melee,""""""
adamkex,melee,""""""
Alpha Dash,melee,""""""
SA | Samplay,melee,""""""
Rockman X,melee,""""""
Z��ng,melee,""""""
SchlimmShady,melee,""""""
Masterkai,melee,""""""
ATBT | Baxon,melee,""""""
mayhem092,melee,"{""melee/fox"": 220, ""melee/falco"": 40, ""melee/drmario"": 8, ""melee/roy"": 7, ""melee/sheik"": 10, ""melee/captainfalcon"": 12, ""melee/marth"": 5}"
Young Thug,melee,""""""
Volvo,melee,""""""
Speedy,melee,""""""
Nils,melee,""""""
Schmep,melee,""""""
Jekku,melee,""""""
Ryuker,melee,""""""
Ludderix,melee,""""""
Oytun,melee,""""""
Lorenzo,melee,""""""
JJ | Mahie,melee,""""""
MikeHaggarSSBM,melee,""""""
Noizeeh,melee,""""""
Snex,melee,""""""
RashAttack,melee,""""""
G,melee,""""""
Oats,melee,""""""
Blayd,melee,""""""
Miguel,melee,""""""
suntherion,melee,""""""
Youthius,melee,""""""
Mums,melee,""""""
LGuy,melee,""""""
Askeflink,melee,""""""
Hara,melee,""""""
Boxxy,melee,""""""
Dangerboy,melee,""""""
p30;-,melee,""""""
Tengil,melee,""""""
pheX,melee,""""""
BootyBlast,melee,""""""
joanna dark,melee,""""""
OolongT,melee,""""""
Blaze,melee,""""""
Yuna,melee,""""""
LLL.MBR,melee,""""""
Stax,melee,""""""
Draz,melee,""""""
HQ | Ganz,melee,""""""
Daydee,melee,""""""
Heir | Jam,melee,""""""
hopo,melee,""""""
Salevits,melee,""""""
JJ | Aether,melee,""""""
stemu,melee,""""""
TheBattleRifle,melee,""""""
Deg,melee,""""""
JohnKorv,melee,""""""
HEIR | reaper,melee,""""""
Trif,melee,"{""melee/peach"": 452, ""melee/marth"": 62, ""melee/mrgameandwatch"": 1, ""melee/falco"": 76, ""melee/fox"": 37}"
Eekim,melee,""""""
Pots,melee,""""""
BML Poopmaister6000,melee,""""""
Dragmirejr,melee,""""""
Moose,melee,""""""
Oldiz,melee,""""""
Jack,melee,""""""
RPG,melee,""""""
Osxcar,melee,""""""
Sverre,melee,""""""
Zeal,melee,""""""
FA0,melee,""""""
mekh,melee,""""""
Usleon,melee,""""""
Padoki,melee,""""""
MrHappy,melee,""""""
Shloub,melee,""""""
MasterTK,melee,""""""
ImpX,melee,""""""
Yalungur,melee,""""""
Charlon,melee,""""""
R23,melee,""""""
LLL.Jeapie,melee,""""""
MonoPenisGuy,melee,""""""
Jin,melee,""""""
Vanity Angel,melee,""""""
ZIPBOYs | Pop,melee,""""""
TH | BloodBowler,melee,""""""
Suntherion,melee,""""""
FlikFlakk,melee,""""""
Lamp,melee,""""""
LLL. Jeapie,melee,""""""
HSIS | Kikkoman,melee,""""""
Daumling,melee,""""""
Tamoo,melee,""""""
Datto,melee,""""""
Frenzy,melee,""""""
